table_name,foreign_key_column,referenced_table,referenced_column
ta_unidade_saude_horus,,,
ta_unidade_saude_tipo_servico,,,
ta_usuario,,,
tb_ad_cidadao,co_cid10_causa_associada,tb_cid10,co_cid10
tb_ad_cidadao,co_prontuario,tb_prontuario,co_seq_prontuario
tb_ad_cidadao,co_ad_destino,tb_ad_destino,co_seq_ad_destino
tb_ad_cidadao,co_equipe,tb_equipe,co_seq_equipe
tb_ad_cidadao,co_ad_origem,tb_ad_origem,co_ad_origem
tb_ad_cidadao,co_ad_modalidade,tb_ad_modalidade,co_seq_ad_modalidade
tb_ad_cidadao,co_cid10_secundario_2,tb_cid10,co_cid10
tb_ad_cidadao,co_cid10_principal,tb_cid10,co_cid10
tb_ad_cidadao_historico,co_prof,tb_prof,co_seq_prof
tb_ad_cidadao_historico,co_lotacao,tb_lotacao,co_ator_papel
tb_ad_cidadao_historico,co_ad_modalidade,tb_ad_modalidade,co_seq_ad_modalidade
tb_ad_destino,,,
tb_ad_modalidade,,,
tb_ad_origem,,,
tb_ad_questao,co_ad_cidadao,tb_ad_cidadao,co_seq_ad_cidadao
tb_ad_resposta,co_atend_prof_ad,tb_atend_prof_ad,co_atend_prof_ad
tb_ad_sync_entity,,,
tb_ad_tipo_elegivel,,,
tb_ad_tipo_inelegivel,,,
tb_ad_transmissao_sessao,,,
tb_adm_geral,co_ator_papel,tb_ator_papel,co_seq_ator_papel
tb_adm_municipal,co_localidade,tb_localidade,co_localidade
tb_adm_municipal,co_ator_papel,tb_ator_papel,co_seq_ator_papel
tb_agendado,co_lotacao_criadora,tb_lotacao,co_ator_papel
tb_agendado,co_local_atend,tb_local_atend,co_local_atend
tb_agendado,st_agendado,tb_situacao_agendado,co_situacao_agendado
tb_agendado,co_origem,tb_origem,co_origem
tb_agendado,co_lotacao_agendada,tb_lotacao,co_ator_papel
tb_agendado,co_motivo_reserva,tb_motivo_reserva,co_motivo_reserva
tb_agendado,co_prontuario,tb_prontuario,co_seq_prontuario
tb_alergia,co_ultima_alergia_evolucao,tb_alergia_evolucao,co_seq_alergia_evolucao
tb_alergia,co_categoria_agente_causador,tb_categoria_agente_causador,co_categoria_agente_causador
